site,season,samp.type,samp.point,Acalyptratae,Acari,Annelida,Aphididae,Araneae,Archaeognatha,Astacoidea,Brachycentridae,Cantharidae,Carabidae,Cecidomyiidae,Ceratopogonidae,Chalcidoidea,Chilopoda,Chironomidae,Chloroperlidae,Coleoptera,Collembola,Copepoda,Corydalidae,Curculionidae,Cydnidae,Dermestidae,Diplopoda,Diptera,Dixidae,Dolichopodidae,Dytiscidae,Elateridae,Elmidae,Empididae,Ephemeroptera,Formicidae,Gastropoda,Gomphidae,Hemiptera,Heteroptera,Hydrophilidae,Hydropsychidae,Hydroptilidae,Hymenoptera,Isopoda,Lampyridae,Leiodidae,Lepidoptera,Lepidostomatidae,Leuctridae,Limnephilidae,Limoniidae,Mecoptera,Nematocera,Nematoda,Odontoceridae,Orthoptera,Peltoperlidae,Perlidae,Perlodidae,Phoridae,Phryganeidae,Plecoptera,Plethodontidae,Pseudoscorpiones,Psocoptera,Psychodidae,Pteronarcyidae,Ptiliidae,Reduviidae,Rhyacophilidae,Rhyparochromidae,Scarabaeidae,Sciaridae,Simuliidae,Staphylinidae,Symphyla,Tabanidae,Thysanoptera,Thysanura,Tingidae,Tipulidae,Trichoptera
SGL 205,spring,leaf litter,3,0,13,0,0,3,0,0,0,0,1,1,0,0,0,62,0,1,28,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,12,0
SGL 205,spring,leaf litter,4,1,20,0,0,2,0,0,0,0,0,0,0,1,0,70,0,3,32,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,13,0
SGL 205,spring,leaf litter,5,0,30,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,28,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SGL 221,spring,leaf litter,1,0,208,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,77,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
SGL 221,spring,leaf litter,2,0,71,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,21,0,0,3,1,0,0,0,0,0,0,2,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0
SGL 221,spring,leaf litter,3,0,136,2,0,6,0,0,0,0,0,0,0,1,2,0,0,0,55,0,0,7,1,0,4,1,0,0,0,1,0,0,0,15,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0
SGL 221,spring,leaf litter,4,0,127,0,0,6,0,0,0,0,0,3,3,0,4,0,0,0,145,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
SGL 221,spring,leaf litter,5,0,161,0,0,13,0,0,0,0,1,0,1,0,6,4,0,0,27,0,0,4,6,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,14,0
SGL 221,spring,leaf pack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11
SGL 221,spring,leaf pack,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13
SGL 221,spring,leaf pack,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SGL 221,spring,leaf pack,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17
SGL 221,spring,leaf pack,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SGL 221,summer,leaf litter,1,0,717,0,0,12,0,0,0,0,0,1,0,1,1,6,0,1,130,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
SGL 221,summer,leaf litter,2,0,779,0,0,10,0,0,0,0,0,1,2,2,2,4,0,0,74,0,0,0,0,0,3,1,0,0,0,3,0,0,0,2,3,0,0,5,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,11,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
SGL 221,summer,leaf litter,3,0,656,0,0,11,0,0,0,0,0,6,0,1,2,3,0,1,124,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,1,0
SGL 221,summer,leaf litter,4,0,734,7,0,11,0,0,0,0,0,11,0,0,3,3,0,2,69,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,0,5,0,0,0,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGL 221,summer,leaf litter,5,0,375,4,0,27,0,0,0,0,0,5,0,0,1,18,0,2,38,0,0,0,0,0,2,3,0,1,0,0,0,1,0,0,3,0,2,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
SGL 221,summer,leaf pack,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,4,7,0,0,2,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,2,0,256,1,2,0,0,33,2,0,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14
SGL 221,summer,leaf pack,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,37,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,2,0,184,1,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
SGL 221,summer,leaf pack,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,8,0,9,0,0,0,0,11,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SGL 221,summer,leaf pack,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,1,9,0,0,4,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGL 221,summer,leaf pack,5,0,5,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,18,0,0,0,0,0,0,0,1,0,0,0,1,18,6,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,162,0,3,0,0,26,1,0,0,2,20,0,0,43,0,0,0,0,0,0,0,0,0,0,7,5
SGL 221,fall,leaf litter,1,3,128,0,1,8,0,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
SGL 221,fall,leaf litter,2,0,74,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0
SGL 221,fall,leaf litter,3,1,235,0,0,4,0,0,0,1,0,3,0,0,2,1,0,0,43,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0
SGL 221,fall,leaf litter,4,0,139,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
SGL 221,fall,leaf litter,5,0,87,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
SGL 221,fall,leaf pack,1,1,13,0,0,0,0,0,0,0,0,0,4,0,0,17,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,7,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,17,0,0,0,0,11,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
SGL 221,fall,leaf pack,2,0,52,4,0,0,0,0,0,0,0,0,3,0,0,11,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
SGL 221,fall,leaf pack,3,3,189,0,0,1,0,0,0,0,0,4,5,0,0,134,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,1,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3
SGL 221,fall,leaf pack,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SGL 221,fall,leaf pack,5,0,10,0,0,1,0,0,0,0,0,0,3,0,0,101,0,0,13,1,1,0,0,0,0,2,0,0,0,0,4,11,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,4,0,0,5,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
STAC,summer,leaf litter,1,0,400,0,0,5,0,0,0,0,1,4,0,2,0,2,0,0,185,0,0,0,0,0,2,3,0,0,0,0,0,0,0,12,5,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
STAC,summer,leaf litter,2,0,400,0,0,6,0,0,0,0,0,6,7,3,0,1,0,0,311,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
STAC,summer,leaf litter,3,0,248,0,0,2,0,0,0,2,0,4,0,3,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
STAC,summer,leaf litter,4,0,129,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
STAC,summer,leaf litter,5,0,351,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
STAC,summer,leaf pack,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAC,summer,leaf pack,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAC,summer,leaf pack,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAC,summer,leaf pack,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,18,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
STAC,summer,leaf pack,5,0,2,2,0,0,0,0,0,0,0,0,3,0,0,57,7,0,1,0,0,0,0,0,0,0,2,0,0,0,6,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,47,35,0,9,0,0,0,23,0,121,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,18
STAC,fall,leaf litter,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAC,fall,leaf litter,2,0,179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAC,fall,leaf litter,3,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAC,fall,leaf litter,4,0,136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
STAC,fall,leaf litter,5,0,188,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
STAC,fall,leaf pack,1,0,26,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,4,1,0,0,0,0,0,0,2,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
STAC,fall,leaf pack,2,0,18,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
STAC,fall,leaf pack,3,0,6,0,0,0,2,0,0,0,0,4,4,0,0,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2
STAC,fall,leaf pack,4,0,15,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,33,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
STAC,fall,leaf pack,5,0,115,1,0,0,0,0,0,0,0,7,8,1,0,2,0,1,60,0,0,0,0,0,0,1,4,0,0,0,6,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
