date,site,samp_type,season,taxa,number_individuals,age_class,prey_category
6/22/2016,SGL 205,leaf litter,spring,Diptera,1,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Cecidomyiidae,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Acari,20,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Collembola,32,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Araneae,2,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Tipulidae,13,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Psychodidae,5,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Chironomidae,70,Immature,aquatic
6/22/2016,SGL 205,leaf litter,spring,Lepidoptera,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Ptiliidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Thysanoptera,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Isopoda,2,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Dolichopodidae,3,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Chalcidoidea,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Acalyptratae,1,Adult,intermediate
6/22/2016,SGL 205,leaf litter,spring,Sciaridae,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Coleoptera,2,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Coleoptera,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Diptera,2,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Acari,30,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Collembola,28,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Araneae,1,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Staphylinidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Ptiliidae,2,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Chironomidae,2,Adult,aquatic
6/22/2016,SGL 205,leaf litter,spring,Isopoda,8,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Curculionidae,2,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Psocoptera,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Pseudoscorpiones,2,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Orthoptera,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Lepidoptera,3,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Gastropoda,2,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Diptera,1,Adult,intermediate
6/22/2016,SGL 205,leaf litter,spring,Diptera,1,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Coleoptera,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Cecidomyiidae,1,Immature,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Peltoperlidae,245,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Pteronarcyidae,9,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Gomphidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Perlidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plecoptera,13,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Collembola,6,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Chironomidae,3,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Tipulidae,1,Immature,intermediate
8/15/2016,SGL 221,leaf pack,summer,Acari,3,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Empididae,2,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Sciaridae,1,Adult,intermediate
8/15/2016,SGL 221,leaf pack,summer,Elmidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Lepidostomatidae,2,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Trichoptera,14,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Peltoperlidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plecoptera,1,Adult,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plecoptera,2,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Chironomidae,14,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Lepidostomatidae,7,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Odontoceridae,2,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Peltoperlidae,9,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Pteronarcyidae,4,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plecoptera,11,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plethodontidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Lepidostomatidae,2,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Odontoceridae,6,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Ephemeroptera,3,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Elmidae,3,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Acari,3,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Collembola,1,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Pteronarcyidae,8,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Peltoperlidae,4,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plecoptera,4,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Araneae,1,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Chironomidae,8,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Collembola,1,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Ephemeroptera,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Pteronarcyidae,11,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Collembola,6,Undetermined,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Peltoperlidae,71,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Plecoptera,22,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Ephemeroptera,6,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Lepidostomatidae,7,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Rhyacophilidae,43,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Empididae,13,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Elmidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Limoniidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Chalcidoidea,2,Adult,terrestrial
8/15/2016,SGL 221,leaf pack,summer,Gomphidae,1,Immature,aquatic
8/15/2016,SGL 221,leaf pack,summer,Tipulidae,4,Immature,intermediate
8/15/2016,SGL 221,leaf pack,summer,Acari,3,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Acari,317,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Collembola,91,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Araneae,11,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Gastropoda,3,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Chironomidae,4,Immature,aquatic
8/16/2016,SGL 221,leaf litter,summer,Pseudoscorpiones,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Chalcidoidea,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Hemiptera,2,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Mecoptera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Dolichopodidae,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Lepidoptera,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Formicidae,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Collembola,29,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Araneae,6,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Acari,379,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Formicidae,2,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Staphylinidae,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Diplopoda,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Chironomidae,3,Immature,aquatic
8/16/2016,SGL 221,leaf litter,summer,Staphylinidae,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Lampyridae,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Pseudoscorpiones,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Gastropoda,2,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Psocoptera,2,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Hymenoptera,2,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Acari,256,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Collembola,90,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Diplopoda,2,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Chironomidae,2,Immature,aquatic
8/16/2016,SGL 221,leaf litter,summer,Araneae,3,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Pseudoscorpiones,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Coleoptera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Formicidae,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Tipulidae,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Cecidomyiidae,3,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Sciaridae,2,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Nematocera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Acari,334,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Collembola,35,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Diplopoda,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Araneae,3,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Chironomidae,3,Immature,aquatic
8/16/2016,SGL 221,leaf litter,summer,Formicidae,3,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Coleoptera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Coleoptera,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Formicidae,3,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Cecidomyiidae,6,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Tipulidae,1,Immature,intermediate
8/16/2016,SGL 221,leaf litter,summer,Lepidoptera,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Hymenoptera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Nematoda,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Gastropoda,2,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Pseudoscorpiones,1,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Acari,88,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Collembola,14,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Diplopoda,2,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Staphylinidae,2,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Araneae,16,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Chironomidae,17,Immature,aquatic
8/16/2016,SGL 221,leaf litter,summer,Coleoptera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Peltoperlidae,1,Immature,aquatic
8/16/2016,SGL 221,leaf litter,summer,Coleoptera,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Annelida,4,Undetermined,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Hemiptera,1,Immature,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Tingidae,1,Adult,terrestrial
8/16/2016,SGL 221,leaf litter,summer,Diptera,2,Immature,intermediate
8/15/2016,STAC,leaf litter,summer,Acari,431,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Collembola,185,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Araneae,5,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Carabidae,1,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Formicidae,12,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Staphylinidae,2,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Psocoptera,2,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Diptera,3,Immature,intermediate
8/15/2016,STAC,leaf litter,summer,Cecidomyiidae,3,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Cecidomyiidae,1,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Hemiptera,2,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Chalcidoidea,2,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Isopoda,11,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Gastropoda,5,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Diplopoda,2,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Chironomidae,2,Immature,aquatic
8/15/2016,STAC,leaf litter,summer,Pseudoscorpiones,9,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Acari,844,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Collembola,311,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Araneae,6,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Chironomidae,1,Immature,aquatic
8/15/2016,STAC,leaf litter,summer,Staphylinidae,1,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Staphylinidae,1,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Chalcidoidea,3,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Limoniidae,6,Immature,aquatic
8/15/2016,STAC,leaf litter,summer,Diptera,3,Immature,intermediate
8/15/2016,STAC,leaf litter,summer,Cecidomyiidae,6,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Ceratopogonidae,7,Immature,aquatic
8/15/2016,STAC,leaf litter,summer,Collembola,119,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Acari,248,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Formicidae,6,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Leuctridae,1,Immature,aquatic
8/15/2016,STAC,leaf litter,summer,Araneae,2,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Staphylinidae,2,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Cantharidae,2,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Chalcidoidea,3,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Pseudoscorpiones,2,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Cecidomyiidae,4,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Hemiptera,1,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Staphylinidae,1,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Carabidae,1,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Acari,129,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Collembola,2,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Gastropoda,3,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Elateridae,1,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Diplopoda,1,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Chilopoda,2,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Acari,351,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Collembola,180,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Cecidomyiidae,3,Immature,terrestrial
8/15/2016,STAC,leaf litter,summer,Archaeognatha,1,Undetermined,aquatic
8/15/2016,STAC,leaf litter,summer,Ptiliidae,1,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Pseudoscorpiones,1,Undetermined,terrestrial
8/15/2016,STAC,leaf litter,summer,Chalcidoidea,3,Adult,terrestrial
8/15/2016,STAC,leaf litter,summer,Hemiptera,2,Adult,terrestrial
8/22/2016,STAC,leaf pack,summer,Acari,2,Undetermined,terrestrial
8/22/2016,STAC,leaf pack,summer,Hemiptera,2,Immature,terrestrial
8/22/2016,STAC,leaf pack,summer,Peltoperlidae,2,Immature,aquatic
8/22/2016,STAC,leaf pack,summer,Plecoptera,3,Immature,aquatic
8/22/2016,STAC,leaf pack,summer,Ephemeroptera,1,Immature,aquatic
8/22/2016,STAC,leaf pack,summer,Odontoceridae,1,Immature,aquatic
8/22/2016,STAC,leaf pack,summer,Lepidostomatidae,1,Immature,aquatic
8/22/2016,STAC,leaf pack,summer,Hydrophilidae,1,Adult,aquatic
8/22/2016,STAC,leaf pack,summer,Corydalidae,1,Immature,aquatic
8/22/2016,STAC,leaf pack,summer,Hemiptera,2,Immature,terrestrial
8/22/2016,STAC,leaf pack,summer,Collembola,1,Undetermined,terrestrial
8/15/2016,STAC,leaf pack,summer,Chironomidae,2,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Acari,1,Undetermined,terrestrial
8/15/2016,STAC,leaf pack,summer,Plecoptera,7,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Odontoceridae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Astacoidea,1,Undetermined,aquatic
8/15/2016,STAC,leaf pack,summer,Peltoperlidae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Chironomidae,25,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Phryganeidae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Odontoceridae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Peltoperlidae,3,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Leuctridae,8,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Copepoda,7,Undetermined,aquatic
8/15/2016,STAC,leaf pack,summer,Chironomidae,8,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Aphididae,1,Immature,terrestrial
8/15/2016,STAC,leaf pack,summer,Corydalidae,2,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Hydrophilidae,2,Adult,aquatic
8/15/2016,STAC,leaf pack,summer,Elmidae,1,Adult,aquatic
8/15/2016,STAC,leaf pack,summer,Ephemeroptera,2,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Chloroperlidae,2,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Leuctridae,18,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Peltoperlidae,15,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Lepidostomatidae,11,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Odontoceridae,3,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Chironomidae,10,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Ceratopogonidae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Tipulidae,2,Immature,intermediate
8/15/2016,STAC,leaf pack,summer,Acari,2,Undetermined,terrestrial
8/15/2016,STAC,leaf pack,summer,Collembola,1,Undetermined,terrestrial
8/15/2016,STAC,leaf pack,summer,Ephemeroptera,5,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Pteronarcyidae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Leuctridae,35,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Chloroperlidae,7,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Odontoceridae,23,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Lepidostomatidae,47,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Trichoptera,18,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Elmidae,5,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Elmidae,1,Adult,aquatic
8/15/2016,STAC,leaf pack,summer,Hydrophilidae,1,Adult,aquatic
8/15/2016,STAC,leaf pack,summer,Empididae,5,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Dixidae,2,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Tabanidae,1,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Limoniidae,9,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Ceratopogonidae,3,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Tipulidae,4,Immature,intermediate
8/15/2016,STAC,leaf pack,summer,Plecoptera,1,Adult,aquatic
8/15/2016,STAC,leaf pack,summer,Peltoperlidae,121,Immature,aquatic
8/15/2016,STAC,leaf pack,summer,Annelida,2,Undetermined,terrestrial
8/15/2016,STAC,leaf pack,summer,Chironomidae,57,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Gomphidae,3,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Tipulidae,3,Immature,intermediate
10/23/2016,SGL 221,leaf pack,fall,Odontoceridae,5,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Acari,13,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Peltoperlidae,4,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Plecoptera,1,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Ephemeroptera,9,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Chironomidae,7,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Ceratopogonidae,3,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Trichoptera,8,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Elmidae,1,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Psychodidae,3,Immature,intermediate
10/23/2016,SGL 221,leaf pack,fall,Odontoceridae,6,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Acari,52,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Trichoptera,2,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Elmidae,1,Adult,aquatic
10/23/2016,SGL 221,leaf pack,fall,Tipulidae,1,Immature,intermediate
10/23/2016,SGL 221,leaf pack,fall,Ceratopogonidae,1,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Ephemeroptera,2,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Plecoptera,1,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Collembola,1,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Acari,188,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Pseudoscorpiones,1,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Araneae,1,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Tipulidae,1,Immature,intermediate
10/23/2016,SGL 221,leaf pack,fall,Sciaridae,1,Immature,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Psychodidae,3,Immature,intermediate
10/23/2016,SGL 221,leaf pack,fall,Chironomidae,7,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Ceratopogonidae,4,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Trichoptera,3,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Empididae,2,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Cecidomyiidae,1,Immature,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Collembola,6,Undetermined,terrestrial
10/23/2016,SGL 221,leaf pack,fall,Gomphidae,1,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Odontoceridae,8,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Peltoperlidae,9,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Trichoptera,6,Immature,aquatic
10/23/2016,SGL 221,leaf pack,fall,Collembola,1,Undetermined,terrestrial
